1, Fire TV Stick, Electronics, 19.99, 100
2, Instant Pot 6-Quart 7-in-1 Multi-cooker, Kitchens, 99.95, 200
3, LifeStraw Personal Water Filter, Outdoor, 24.95, 500
4, iRobot Roomba 671, Electronics, 349.99, 500
5, 23andMe DNA Test, Health, 199.00, 200
6, Echo Dot, Electronics, 49.99, 100
7, Sony Wireless Noise-Canceling Headphones, Electronics, 198.00, 500
8, Anker PowerCore 10000mAh External Batteries, Electronics, 29.99, 100
9, Amazon Cloud Cam Security Camera, Security, 119.99, 500
10, Bose QuietComfort 25 Acoustic Headphones, Electronics, 249, 60 0
11, Anker PowerLine 6ft Lightning Cable, Electronics, 7.99, 100
12, Kindle Paperwhite E-reader, Electronics, 119.99, 100
13, Oral-B White Pro Toothbrush, Bathroom, 66.99, 500
14, ECOVACS DEEBOT N79S Robot Vacuum Cleaner, Janitorial, 299.99, 100
15, Sennheiser HD 4.50 SE Wireless Headphones, Electronics, 199.99, 100
16, Trtl Pillow, Bedding, 29.99, 100
17, L'Oréal Paris Makeup Mascara, Makeup, 5.55, 200
18, Neutrogena Makeup Remover Towelettes, Makeup, 8.97, 200
19, Hasbro Connect 4 Game, Toy, 8.77, 200
20, Z-Man Games Pandemic, Toy, 35.80, 100